Area,Name,Votes
4. Syd,Christopher Røhl,34
4. Syd,Mette Annelie Rasmussen,35
4. Syd,Jes Vissing Tiedemann,8
4. Syd,Katrine Kildgaard,46
4. Syd,Sally Khallash,12
4. Syd,Jino Victoria Doabi,12
4. Syd,Dan Kreutzfeldt,3
4. Syd,Lartey Lawson,19
4. Syd,Emil Moselund,43
4. Syd,Kashif Ahmad,6
4. Syd,Emil Sloth Andersen,24
4. Syd,Kim Mandix,8
4. Syd,Hanne Kofoed,7
4. Syd,Martin Schepelern,18
4. Øst,Navn,Personlige stemmer
4. Øst,Mia Nyegaard,108
4. Øst,Christopher Røhl,32
4. Øst,Mette Annelie Rasmussen,65
4. Øst,Jes Vissing Tiedemann,12
4. Øst,Katrine Kildgaard,47
4. Øst,Sally Khallash,10
4. Øst,Jino Victoria Doabi,20
4. Øst,Dan Kreutzfeldt,4
4. Øst,Lartey Lawson,13
4. Øst,Emil Moselund,51
4. Øst,Kashif Ahmad,10
4. Øst,Emil Sloth Andersen,32
4. Øst,Kim Mandix,12
4. Øst,Hanne Kofoed,7
4. Øst,Martin Schepelern,13
5. Nørrebro,Navn,Personlige stemmer
5. Nørrebro,Mia Nyegaard,47
5. Nørrebro,Christopher Røhl,37
5. Nørrebro,Mette Annelie Rasmussen,28
5. Nørrebro,Jes Vissing Tiedemann,14
5. Nørrebro,Katrine Kildgaard,60
5. Nørrebro,Sally Khallash,10
5. Nørrebro,Jino Victoria Doabi,22
5. Nørrebro,Dan Kreutzfeldt,8
5. Nørrebro,Lartey Lawson,17
5. Nørrebro,Emil Moselund,40
5. Nørrebro,Kashif Ahmad,24
5. Nørrebro,Emil Sloth Andersen,21
5. Nørrebro,Kim Mandix,5
5. Nørrebro,Hanne Kofoed,5
5. Nørrebro,Martin Schepelern,9
5. Nord,Navn,Personlige stemmer
5. Nord,Mia Nyegaard,70
5. Nord,Christopher Røhl,87
5. Nord,Mette Annelie Rasmussen,60
5. Nord,Jes Vissing Tiedemann,19
5. Nord,Katrine Kildgaard,144
5. Nord,Sally Khallash,24
5. Nord,Jino Victoria Doabi,40
5. Nord,Dan Kreutzfeldt,13
5. Nord,Lartey Lawson,35
5. Nord,Emil Moselund,130
5. Nord,Kashif Ahmad,32
5. Nord,Emil Sloth Andersen,43
5. Nord,Kim Mandix,10
5. Nord,Hanne Kofoed,10
5. Nord,Martin Schepelern,23
5. Syd,Navn,Personlige stemmer
5. Syd,Mia Nyegaard,76
5. Syd,Christopher Røhl,43
5. Syd,Mette Annelie Rasmussen,54
5. Syd,Jes Vissing Tiedemann,15
5. Syd,Katrine Kildgaard,36
5. Syd,Sally Khallash,10
5. Syd,Jino Victoria Doabi,15
5. Syd,Dan Kreutzfeldt,9
5. Syd,Lartey Lawson,11
5. Syd,Emil Moselund,46
5. Syd,Kashif Ahmad,27
5. Syd,Emil Sloth Andersen,13
5. Syd,Kim Mandix,5
5. Syd,Hanne Kofoed,5
5. Syd,Martin Schepelern,9
5. Øst,Navn,Personlige stemmer
5. Øst,Mia Nyegaard,73
5. Øst,Christopher Røhl,59
5. Øst,Mette Annelie Rasmussen,63
5. Øst,Jes Vissing Tiedemann,12
5. Øst,Katrine Kildgaard,58
5. Øst,Sally Khallash,14
5. Øst,Jino Victoria Doabi,15
5. Øst,Dan Kreutzfeldt,3
5. Øst,Lartey Lawson,27
5. Øst,Emil Moselund,71
5. Øst,Kashif Ahmad,14
5. Øst,Emil Sloth Andersen,26
5. Øst,Kim Mandix,3
5. Øst,Hanne Kofoed,4
